Name,batter,PA,wOBA,xwOBA,sxwOBA,sxwOBA_adj,diff,diff%,BB%,K%,HR,LA,Barrels,pulled_barrels,year
Tim Locastro,641796,10,0.218,0.341,0.308,0.298,-0.033,-9.65,0.0,20.0,0,24.8,0,0,2023
Trey Mancini,641820,263,0.28,0.27,0.253,0.24,-0.017,-6.48,8.0,29.7,4,12.2,6,3,2023
Billy McKinney,641856,108,0.335,0.352,0.337,0.325,-0.015,-4.3,9.3,25.0,6,10.4,9,5,2023
Ryan McMahon,641857,434,0.352,0.343,0.346,0.335,0.003,0.89,10.8,30.2,18,9.1,31,7,2023
Tyler O'Neill,641933,148,0.319,0.349,0.338,0.328,-0.011,-3.24,9.5,30.4,4,14.8,12,3,2023
Josh Palacios,641943,123,0.287,0.307,0.329,0.313,0.022,7.32,3.3,14.6,2,5.5,5,2,2023
Dominic Smith,642086,418,0.308,0.313,0.31,0.297,-0.003,-0.88,7.9,15.1,5,11.2,15,5,2023
Rowdy Tellez,642133,288,0.289,0.301,0.314,0.304,0.013,4.38,9.4,24.0,12,15.7,16,8,2023
Matt Thaiss,642136,256,0.31,0.335,0.327,0.316,-0.008,-2.46,12.5,26.6,6,7.9,14,8,2023
Cody Thomas,642137,38,0.323,0.231,0.273,0.262,0.042,18.0,7.9,34.2,1,12.9,1,1,2023
Tyler Wade,642180,55,0.279,0.251,0.258,0.243,0.007,2.93,7.3,23.6,0,8.6,0,0,2023
Eli White,642201,17,0.177,0.299,0.193,0.189,-0.106,-35.51,11.8,41.2,0,8.9,0,0,2023
Francisco Mejia,642336,160,0.28,0.241,0.281,0.27,0.04,16.61,3.8,23.8,5,18.9,5,5,2023
Jose Siri,642350,264,0.317,0.299,0.309,0.298,0.01,3.22,5.7,36.0,20,12.8,22,12,2023
Amed Rosario,642708,430,0.3,0.309,0.326,0.31,0.017,5.43,5.3,18.1,4,8.4,11,1,2023
Willy Adames,642715,430,0.295,0.334,0.327,0.319,-0.007,-2.04,10.0,26.3,17,17.6,35,16,2023
Thairo Estrada,642731,315,0.33,0.298,0.329,0.318,0.031,10.5,4.8,24.4,9,11.9,12,10,2023
Austin Wynns,642851,79,0.241,0.203,0.213,0.203,0.01,4.77,6.3,34.2,1,17.7,1,0,2023
Andrew Benintendi,643217,427,0.31,0.31,0.325,0.312,0.015,4.94,8.7,14.5,2,13.1,9,1,2023
Garrett Cooper,643265,324,0.311,0.307,0.302,0.291,-0.005,-1.48,5.2,29.9,13,12.8,21,6,2023
Mauricio Dubon,643289,363,0.286,0.293,0.309,0.293,0.016,5.55,3.3,13.5,5,8.6,12,6,2023
Caleb Hamilton,643348,6,0.116,0.116,0.117,0.117,0.001,0.57,16.7,83.3,0,,0,0,2023
Danny Jansen,643376,243,0.326,0.3,0.328,0.319,0.028,9.26,6.6,22.2,15,19.4,19,15,2023
Tony Kemp,643393,320,0.277,0.299,0.306,0.289,0.007,2.27,9.4,9.1,3,9.7,3,2,2023
Isiah Kiner-Falefa,643396,251,0.303,0.303,0.322,0.306,0.019,6.14,8.4,16.7,5,7.4,7,2,2023
Jeff McNeil,643446,439,0.295,0.298,0.315,0.3,0.017,5.6,6.8,10.7,3,13.2,5,3,2023
Mike Tauchman,643565,233,0.352,0.351,0.353,0.341,0.002,0.53,12.4,20.6,6,6.0,11,4,2023
Yu Chang,644374,104,0.236,0.257,0.258,0.248,0.001,0.26,2.9,31.7,5,10.5,3,3,2023
Chadwick Tromp,644433,16,0.133,0.157,0.129,0.126,-0.028,-17.66,0.0,43.8,0,21.7,0,0,2023
Ozzie Albies,645277,455,0.345,0.329,0.35,0.339,0.021,6.45,7.0,15.8,24,16.3,30,15,2023
Victor Robles,645302,126,0.339,0.321,0.336,0.323,0.015,4.72,8.7,14.3,0,9.9,2,1,2023
Jose Herrera,645444,84,0.271,0.271,0.286,0.272,0.015,5.55,11.9,26.2,0,6.2,0,0,2023
Mike Ford,645801,143,0.344,0.297,0.352,0.345,0.055,18.46,7.0,35.7,11,18.1,13,13,2023
Rafael Devers,646240,438,0.355,0.375,0.375,0.362,-0.0,-0.09,8.2,19.9,25,12.9,41,18,2023
Josh Naylor,647304,390,0.355,0.352,0.364,0.351,0.012,3.28,6.2,14.6,15,13.8,27,19,2023
Abraham Toro,647351,20,0.538,0.45,0.476,0.465,0.026,5.78,5.0,25.0,2,11.1,2,2,2023
Aledmys Diaz,649557,259,0.244,0.262,0.276,0.258,0.014,5.17,5.0,19.3,2,8.7,5,4,2023
Luis Urias,649966,68,0.26,0.287,0.29,0.277,0.003,1.1,10.3,22.1,1,17.8,2,2,2023
Luis Arraez,650333,445,0.385,0.35,0.373,0.356,0.023,6.51,7.0,5.6,3,11.2,10,6,2023
Eloy Jimenez,650391,305,0.339,0.327,0.326,0.31,-0.001,-0.21,6.2,22.0,13,5.6,24,9,2023
Gleyber Torres,650402,454,0.327,0.354,0.355,0.342,0.001,0.22,8.8,13.7,16,16.1,28,8,2023
Willi Castro,650489,283,0.313,0.321,0.332,0.323,0.011,3.43,8.1,24.7,5,14.6,14,5,2023
Yandy Diaz,650490,400,0.391,0.372,0.387,0.371,0.015,4.03,11.5,16.5,15,5.8,23,7,2023
Bryan De La Cruz,650559,435,0.326,0.331,0.348,0.335,0.017,4.99,6.9,24.6,15,9.6,23,11,2023
Meibrys Viloria,650619,4,0.174,0.307,0.438,0.414,0.131,42.73,25.0,0.0,0,-21.6,0,0,2023
Luis Rengifo,650859,322,0.308,0.31,0.321,0.308,0.011,3.57,10.6,19.9,10,10.4,15,7,2023
Rene Pinto,650907,12,0.295,0.231,0.213,0.206,-0.018,-7.93,0.0,25.0,0,21.2,0,0,2023
Andruw Monasterio,655316,139,0.341,0.324,0.328,0.316,0.004,1.26,11.5,19.4,1,15.1,4,0,2023
Carlos Perez,656024,16,0.177,0.21,0.208,0.191,-0.002,-1.09,6.3,31.3,0,11.9,1,0,2023
Riley Adams,656180,103,0.384,0.281,0.299,0.289,0.018,6.45,6.8,26.2,4,17.7,4,2,2023
Greg Allen,656185,22,0.314,0.176,0.184,0.175,0.008,4.79,9.1,36.4,1,22.2,0,0,2023
Matt Chapman,656305,450,0.347,0.355,0.366,0.356,0.011,2.96,11.8,28.0,14,16.6,48,12,2023
Michael Chavis,656308,62,0.289,0.265,0.271,0.26,0.006,2.16,6.5,32.3,1,13.1,0,0,2023
Isan Diaz,656371,21,0.108,0.15,0.13,0.118,-0.02,-13.42,9.5,33.3,0,11.9,0,0,2023
Drew Ellis,656403,29,0.374,0.367,0.346,0.335,-0.021,-5.76,20.7,24.1,2,20.2,3,1,2023
Stuart Fairchild,656413,193,0.319,0.309,0.319,0.309,0.01,3.34,10.4,27.5,4,16.5,9,4,2023
Stone Garrett,656448,214,0.328,0.314,0.322,0.315,0.008,2.52,9.3,31.8,7,16.0,10,3,2023
Dalton Guthrie,656495,28,0.24,0.281,0.268,0.263,-0.013,-4.71,10.7,25.0,0,25.5,0,0,2023
Adam Haseley,656514,39,0.253,0.289,0.284,0.269,-0.005,-1.75,7.7,20.5,0,8.0,1,0,2023
Derek Hill,656537,50,0.19,0.226,0.214,0.199,-0.012,-5.31,6.0,22.0,0,7.0,0,0,2023
Sam Hilliard,656541,78,0.313,0.272,0.278,0.27,0.006,2.06,7.7,42.3,3,20.3,3,2,2023
Connor Joe,656582,308,0.327,0.322,0.328,0.318,0.006,1.74,9.7,26.9,7,15.9,18,7,2023
Jordan Luplow,656669,17,0.253,0.224,0.184,0.176,-0.04,-17.95,17.6,47.1,0,18.5,0,0,2023
Zach McKinstry,656716,349,0.296,0.315,0.319,0.309,0.004,1.21,9.2,20.6,7,17.8,20,7,2023
Cedric Mullins II,656775,290,0.347,0.313,0.315,0.305,0.002,0.76,12.1,20.0,9,22.2,13,8,2023
Ryan O'Hearn,656811,206,0.364,0.339,0.353,0.34,0.014,4.08,5.3,22.8,9,13.8,16,9,2023
Kevin Padlo,656821,8,0.156,0.211,0.214,0.196,0.003,1.29,0.0,0.0,0,25.5,1,1,2023
Emmanuel Rivera,656896,226,0.316,0.32,0.324,0.31,0.004,1.22,6.6,20.4,4,10.7,12,4,2023
Kyle Schwarber,656941,487,0.322,0.348,0.344,0.335,-0.004,-1.25,16.4,29.6,27,18.2,37,20,2023
Pavin Smith,656976,217,0.291,0.329,0.318,0.307,-0.011,-3.2,14.7,19.8,7,14.3,11,4,2023
Lane Thomas,657041,463,0.34,0.307,0.336,0.324,0.029,9.58,5.4,26.3,16,11.2,26,14,2023
Alex Verdugo,657077,425,0.337,0.345,0.342,0.328,-0.003,-0.8,8.9,14.8,8,7.8,16,8,2023
Connor Wong,657136,274,0.306,0.277,0.286,0.276,0.009,3.16,6.2,34.3,6,14.9,14,7,2023
Paul DeJong,657557,312,0.302,0.306,0.318,0.309,0.012,4.01,6.7,28.8,13,18.3,16,6,2023
Ramon Laureano,657656,246,0.283,0.288,0.31,0.299,0.022,7.65,6.9,29.7,6,13.8,15,7,2023
Gavin Sheets,657757,228,0.28,0.28,0.286,0.273,0.006,2.07,9.2,18.9,8,17.1,10,5,2023
Edward Olivares,658668,281,0.306,0.332,0.346,0.333,0.014,4.13,5.3,17.1,6,12.9,16,7,2023
Yoan Moncada,660162,180,0.273,0.268,0.257,0.243,-0.011,-4.28,5.0,27.2,3,9.2,7,3,2023
Shohei Ohtani,660271,484,0.447,0.442,0.446,0.435,0.004,0.93,14.5,23.1,40,13.5,57,23,2023
Jonathan Arauz,660620,6,0.147,0.143,0.182,0.169,0.039,27.14,0.0,33.3,0,15.4,0,0,2023
Yonny Hernandez,660634,27,0.197,0.202,0.189,0.176,-0.013,-6.42,7.4,29.6,0,12.3,0,0,2023
Diego Castillo,660636,1,0.0,0.113,0.129,0.129,0.016,14.15,0.0,0.0,0,36.2,0,0,2023
Vidal Brujan,660644,60,0.213,0.18,0.187,0.172,0.007,4.05,3.3,25.0,0,11.6,0,0,2023
Ronald Acuna Jr.,660670,486,0.425,0.457,0.448,0.432,-0.009,-2.01,11.9,12.1,25,7.7,53,15,2023
Keibert Ruiz,660688,366,0.296,0.331,0.305,0.291,-0.026,-7.97,5.7,9.3,11,14.5,21,8,2023
Elehuris Montero,660707,134,0.25,0.209,0.23,0.22,0.021,9.97,3.7,39.6,3,10.5,4,2,2023
Oscar Gonzalez,660757,90,0.246,0.272,0.283,0.268,0.011,3.98,4.4,21.1,1,6.0,3,1,2023
Juan Yepez,660766,46,0.291,0.318,0.328,0.323,0.01,3.03,6.5,28.3,2,24.5,3,3,2023
Jesus Sanchez,660821,253,0.341,0.36,0.37,0.356,0.01,2.85,7.9,26.1,10,4.5,21,6,2023
William Contreras,661388,377,0.347,0.342,0.339,0.323,-0.003,-0.74,8.8,19.4,11,4.0,25,6,2023
Brian Serven,661531,23,0.131,0.133,0.131,0.122,-0.002,-1.81,0.0,43.5,0,19.0,0,0,2023
Daulton Varsho,662139,408,0.274,0.294,0.3,0.291,0.006,2.18,7.4,23.8,12,18.8,18,10,2023
Jahmai Jones,663330,11,0.257,0.238,0.263,0.255,0.025,10.35,9.1,45.5,0,21.2,1,0,2023
Blake Perkins,663368,133,0.281,0.263,0.288,0.279,0.025,9.59,12.8,29.3,2,11.9,3,1,2023
Lars Nootbaar,663457,339,0.355,0.358,0.363,0.349,0.005,1.31,14.2,21.2,11,5.1,21,7,2023
Tyler Nevin,663527,56,0.19,0.278,0.274,0.259,-0.004,-1.3,8.9,21.4,1,8.9,3,0,2023
Nico Hoerner,663538,467,0.319,0.304,0.326,0.309,0.022,7.28,6.0,12.6,8,10.4,8,5,2023
Trey Cabbage,663550,35,0.23,0.197,0.209,0.198,0.012,6.16,0.0,48.6,1,8.7,2,0,2023
Austin Riley,663586,467,0.356,0.368,0.376,0.364,0.008,2.11,7.9,23.3,25,13.0,42,21,2023
Luken Baker,663609,20,0.256,0.225,0.202,0.194,-0.023,-10.19,5.0,40.0,0,17.9,0,0,2023
Nick Madrigal,663611,187,0.317,0.307,0.35,0.329,0.043,13.91,4.3,8.6,1,3.6,2,1,2023
Trevor Larnach,663616,188,0.31,0.326,0.322,0.315,-0.004,-1.38,12.8,35.6,6,17.3,13,6,2023
Ryan Mountcastle,663624,319,0.33,0.368,0.369,0.356,0.001,0.15,5.6,22.9,13,14.4,32,6,2023
Ryan McKenna,663630,103,0.298,0.264,0.293,0.283,0.029,11.06,4.9,28.2,2,12.8,4,3,2023
Ke'Bryan Hayes,663647,315,0.29,0.313,0.321,0.306,0.008,2.41,5.1,20.3,5,12.5,15,5,2023
Kyle Tucker,663656,458,0.376,0.393,0.399,0.386,0.006,1.4,11.1,12.9,19,13.5,31,15,2023
Jonathan India,663697,453,0.326,0.335,0.334,0.321,-0.001,-0.39,8.6,20.1,14,14.6,23,7,2023
Joey Bart,663698,84,0.262,0.241,0.232,0.22,-0.009,-3.94,2.4,25.0,0,15.6,3,3,2023
Cal Raleigh,663728,358,0.325,0.327,0.343,0.335,0.016,4.85,10.1,26.8,17,19.4,28,17,2023
Connor Kaiser,663731,4,0.0,0.337,0.164,0.151,-0.173,-51.44,0.0,50.0,0,14.8,1,0,2023
Nick Fortes,663743,232,0.247,0.276,0.276,0.262,0.0,0.1,5.6,19.0,4,12.9,7,4,2023
Trent Grisham,663757,399,0.316,0.327,0.318,0.31,-0.009,-2.6,13.3,27.8,11,20.0,30,13,2023
Coco Montes,663796,41,0.248,0.207,0.221,0.212,0.014,6.68,4.9,29.3,1,19.8,1,1,2023
Matt Vierling,663837,325,0.322,0.331,0.358,0.342,0.027,8.07,7.7,18.5,7,8.6,10,5,2023
Alfonso Rivas,663845,21,0.26,0.207,0.2,0.192,-0.007,-3.58,14.3,42.9,0,15.9,0,0,2023
Romy Gonzalez,663853,97,0.245,0.281,0.268,0.256,-0.013,-4.62,2.1,37.1,3,5.0,8,3,2023
Tyler Stephenson,663886,389,0.308,0.315,0.319,0.308,0.004,1.41,9.8,26.0,8,9.5,18,6,2023
Luke Williams,663897,10,0.088,0.068,0.025,0.012,-0.043,-62.81,0.0,30.0,0,2.0,0,0,2023
Brendan Rodgers,663898,13,0.136,0.189,0.112,0.097,-0.077,-40.51,0.0,46.2,0,-3.4,1,0,2023
Cesar Salazar,663967,19,0.13,0.172,0.17,0.161,-0.002,-1.1,5.3,31.6,0,17.1,0,0,2023
Nathaniel Lowe,663993,487,0.362,0.345,0.358,0.345,0.013,3.67,13.1,21.1,12,7.4,19,6,2023
Ian Happ,664023,462,0.353,0.348,0.353,0.342,0.005,1.3,16.9,24.0,12,12.5,24,11,2023
Mark Mathias,664029,62,0.295,0.303,0.311,0.294,0.008,2.56,16.1,17.7,0,1.1,0,0,2023
Ty France,664034,451,0.308,0.32,0.299,0.286,-0.021,-6.64,5.5,18.2,7,13.0,18,9,2023
Brandon Lowe,664040,286,0.329,0.328,0.333,0.323,0.005,1.56,11.5,28.0,14,15.8,20,12,2023
Harrison Bader,664056,222,0.301,0.296,0.306,0.293,0.01,3.46,3.2,15.8,7,18.9,11,6,2023
David Fletcher,664058,49,0.239,0.229,0.224,0.207,-0.005,-2.37,4.1,12.2,1,9.3,0,0,2023
Sam Haggerty,664059,48,0.249,0.261,0.276,0.264,0.015,5.94,12.5,22.9,0,16.8,0,0,2023
Dylan Moore,664238,56,0.295,0.328,0.344,0.341,0.016,4.93,8.9,44.6,4,31.4,10,3,2023
Kyle Garlick,664247,30,0.281,0.342,0.317,0.309,-0.025,-7.31,6.7,36.7,2,17.2,5,3,2023
Myles Straw,664702,387,0.268,0.276,0.286,0.272,0.01,3.75,8.5,20.4,0,9.3,2,0,2023
Kyle Isbel,664728,190,0.28,0.284,0.288,0.275,0.004,1.4,3.7,18.9,4,12.6,9,3,2023
Alec Bohm,664761,396,0.335,0.33,0.34,0.326,0.01,2.95,7.1,16.9,10,10.2,16,4,2023
Nathan Lukes,664770,25,0.267,0.261,0.28,0.276,0.019,7.34,12.0,32.0,0,20.2,0,0,2023
LaMonte Wade Jr.,664774,369,0.365,0.372,0.386,0.376,0.014,3.64,16.5,19.8,11,15.5,24,12,2023
Seby Zavala,664874,176,0.223,0.235,0.239,0.23,0.004,1.87,5.7,38.6,7,14.8,6,5,2023
Danny Mendick,664901,25,0.234,0.231,0.216,0.199,-0.015,-6.68,4.0,24.0,0,11.8,0,0,2023
Seth Brown,664913,226,0.299,0.333,0.336,0.327,0.003,0.76,9.7,29.2,10,16.1,18,9,2023
Brett Sullivan,664954,49,0.204,0.228,0.26,0.254,0.032,14.13,2.0,26.5,1,23.8,1,1,2023
Jake McCarthy,664983,266,0.293,0.293,0.282,0.267,-0.011,-3.85,8.3,20.7,2,6.9,5,2,2023
Kody Clemens,665019,148,0.281,0.27,0.277,0.266,0.007,2.76,5.4,27.0,4,15.2,6,3,2023
Jared Walsh,665120,78,0.222,0.243,0.241,0.235,-0.002,-0.95,14.1,33.3,1,17.2,1,1,2023
Nick Maton,665155,275,0.273,0.293,0.294,0.286,0.001,0.43,13.5,24.0,7,17.9,14,5,2023
Jeremy Pena,665161,419,0.29,0.298,0.314,0.299,0.016,5.51,5.7,21.7,10,6.0,14,4,2023
Fernando Tatis Jr.,665487,410,0.35,0.384,0.374,0.359,-0.01,-2.7,7.3,19.5,19,10.2,33,7,2023
Vladimir Guerrero Jr.,665489,467,0.338,0.389,0.379,0.364,-0.01,-2.63,9.4,15.8,17,9.0,44,15,2023
Cristian Pache,665506,53,0.404,0.338,0.336,0.323,-0.002,-0.53,5.7,22.6,2,13.4,4,1,2023
Juan Soto,665742,479,0.404,0.408,0.414,0.402,0.006,1.46,20.5,19.8,23,5.8,39,12,2023
Leody Taveras,665750,368,0.322,0.331,0.361,0.348,0.03,9.18,5.7,20.9,11,10.5,19,11,2023
Miguel Amaya,665804,102,0.354,0.371,0.378,0.371,0.007,1.85,5.9,25.5,3,21.3,6,3,2023
Oswaldo Cabrera,665828,215,0.253,0.255,0.267,0.252,0.012,4.84,7.0,21.4,4,13.5,7,2,2023
Oneil Cruz,665833,40,0.336,0.324,0.322,0.313,-0.002,-0.62,17.5,20.0,1,10.5,1,1,2023
Enmanuel Valdez,665839,101,0.296,0.255,0.275,0.26,0.02,7.99,5.0,26.7,4,10.2,8,5,2023
Jazz Chisholm Jr.,665862,197,0.329,0.321,0.325,0.313,0.004,1.22,6.6,30.5,10,9.3,14,6,2023
Jose Fermin,665877,16,0.223,0.341,0.315,0.297,-0.026,-7.77,6.3,12.5,0,8.2,0,0,2023
Esteury Ruiz,665923,369,0.285,0.271,0.288,0.273,0.017,6.42,3.8,18.4,1,8.8,5,2,2023
Andres Gimenez,665926,417,0.296,0.295,0.305,0.292,0.01,3.47,5.5,18.2,9,13.5,15,8,2023
Jonathan Aranda,666018,15,0.201,0.202,0.21,0.2,0.008,3.75,0.0,40.0,0,7.5,0,0,2023
Freddy Fermin,666023,146,0.353,0.346,0.363,0.35,0.017,4.85,6.2,21.2,6,13.4,12,8,2023
Nolan Jones,666134,194,0.353,0.351,0.376,0.364,0.025,7.07,11.3,32.0,9,10.1,13,6,2023
Alex Kirilloff,666135,258,0.348,0.332,0.339,0.329,0.007,2.0,9.7,26.7,8,12.7,11,0,2023
Josh Lowe,666139,324,0.337,0.327,0.32,0.309,-0.007,-2.08,6.2,27.2,14,14.9,25,9,2023
Dominic Fletcher,666150,102,0.34,0.263,0.28,0.264,0.017,6.42,6.9,21.6,2,8.5,3,1,2023
David Hamilton,666152,34,0.228,0.223,0.239,0.224,0.016,7.25,14.7,29.4,0,16.6,0,0,2023
Mickey Moniak,666160,219,0.381,0.335,0.336,0.33,0.001,0.41,3.2,33.3,11,21.1,19,8,2023
Ben Rortvedt,666163,25,0.232,0.247,0.269,0.254,0.022,8.75,16.0,24.0,0,9.6,1,0,2023
Blake Sabol,666165,263,0.317,0.285,0.293,0.283,0.008,2.74,6.5,35.4,11,16.0,18,6,2023
Jo Adell,666176,14,0.395,0.262,0.155,0.145,-0.107,-40.7,7.1,42.9,1,12.3,1,0,2023
Will Benson,666181,195,0.386,0.328,0.331,0.322,0.003,0.83,13.8,30.3,7,15.3,12,4,2023
Bo Bichette,666182,471,0.364,0.373,0.405,0.39,0.032,8.56,4.2,18.3,17,5.4,34,10,2023
Dylan Carlson,666185,240,0.298,0.324,0.326,0.313,0.002,0.77,9.6,20.0,5,13.2,10,4,2023
Grae Kessinger,666197,33,0.311,0.364,0.342,0.332,-0.022,-5.91,15.2,18.2,1,14.4,3,1,2023
Taylor Trammell,666211,56,0.28,0.321,0.317,0.311,-0.004,-1.19,16.1,39.3,3,26.2,4,3,2023
Bo Naylor,666310,94,0.292,0.294,0.289,0.279,-0.005,-1.81,8.5,28.7,4,16.2,4,2,2023
Edouard Julien,666397,222,0.378,0.343,0.36,0.347,0.017,4.99,11.3,30.6,10,7.3,20,8,2023
Christopher Morel,666624,271,0.374,0.35,0.356,0.345,0.006,1.79,8.1,32.1,17,10.7,25,9,2023
Rodolfo Castro,666801,225,0.297,0.281,0.275,0.262,-0.006,-2.06,9.3,28.0,6,9.4,11,3,2023
Jake Alu,666906,21,0.244,0.227,0.25,0.23,0.023,9.92,4.8,28.6,0,-8.5,0,0,2023
Bobby Dalbec,666915,14,0.226,0.196,0.215,0.209,0.019,9.83,14.3,57.1,0,15.4,0,0,2023
Adolis Garcia,666969,457,0.358,0.374,0.377,0.367,0.003,0.71,9.4,25.2,26,15.1,47,21,2023
Lourdes Gurriel Jr.,666971,399,0.323,0.315,0.343,0.327,0.028,8.75,5.3,16.5,16,9.9,26,15,2023
Corey Julks,667452,311,0.287,0.29,0.308,0.297,0.018,6.15,7.1,23.5,6,17.6,10,5,2023
Dane Myers,667472,61,0.288,0.315,0.363,0.345,0.048,15.38,1.6,26.2,1,0.3,1,0,2023
Brent Rooker,667670,349,0.344,0.342,0.346,0.337,0.004,1.16,10.0,31.5,18,15.2,29,13,2023
Randy Arozarena,668227,446,0.349,0.363,0.364,0.353,0.001,0.21,11.7,24.2,18,11.8,38,16,2023
Nick Pratto,668472,299,0.31,0.297,0.301,0.294,0.004,1.3,9.7,37.5,7,13.1,14,7,2023
Tres Barrera,668663,2,0.0,0.161,-0.002,-0.002,-0.163,-101.35,0.0,0.0,0,33.7,0,0,2023
Jake Rogers,668670,230,0.321,0.344,0.35,0.342,0.006,1.69,10.0,33.5,13,14.2,18,12,2023
J.J. Bleday,668709,254,0.306,0.297,0.311,0.3,0.014,4.7,13.8,22.8,8,15.8,9,7,2023
Spencer Steer,668715,449,0.36,0.328,0.358,0.347,0.03,9.05,10.2,19.8,17,16.6,17,10,2023
Akil Baddoo,668731,220,0.282,0.294,0.308,0.296,0.014,4.78,12.3,23.2,5,9.4,7,3,2023
Calvin Mitchell,668751,5,0.139,0.347,0.273,0.254,-0.074,-21.4,20.0,20.0,0,3.7,0,0,2023
Andrew Knizner,668800,143,0.31,0.29,0.306,0.296,0.016,5.62,2.8,26.6,8,15.5,10,6,2023
Bryan Reynolds,668804,406,0.328,0.359,0.355,0.342,-0.004,-1.21,7.9,20.2,12,12.5,33,12,2023
Conner Capel,668843,86,0.322,0.299,0.308,0.3,0.009,3.08,14.0,29.1,0,13.1,0,0,2023
Mark Vientos,668901,84,0.26,0.355,0.333,0.317,-0.022,-6.34,4.8,26.2,2,6.9,7,0,2023
Royce Lewis,668904,99,0.358,0.285,0.323,0.31,0.038,13.21,3.0,28.3,4,9.7,6,2,2023
Brice Turang,668930,284,0.275,0.282,0.286,0.275,0.004,1.32,8.8,22.5,5,13.3,6,4,2023
Adley Rutschman,668939,463,0.349,0.362,0.373,0.361,0.011,3.02,13.6,15.6,14,11.9,23,14,2023
Josh Rojas,668942,222,0.257,0.264,0.263,0.251,-0.001,-0.52,8.1,23.9,0,10.7,5,1,2023
Ryan Kreidler,668952,18,0.098,0.099,0.086,0.07,-0.013,-13.51,0.0,38.9,0,13.8,0,0,2023
Garrett Mitchell,669003,62,0.33,0.268,0.328,0.321,0.06,22.5,6.5,38.7,3,7.8,3,2,2023
MJ Melendez,669004,421,0.279,0.314,0.314,0.305,0.0,0.05,9.3,28.7,8,17.6,29,12,2023
Brandon Marsh,669016,355,0.354,0.315,0.33,0.319,0.015,4.84,11.5,30.7,8,11.9,17,6,2023
Jeter Downs,669023,2,0.348,0.348,0.35,0.35,0.002,0.57,50.0,50.0,0,,0,0,2023
Kyle Stowers,669065,33,0.117,0.196,0.17,0.157,-0.026,-13.26,9.1,36.4,0,17.2,0,0,2023
Sam Huff,669087,30,0.273,0.284,0.347,0.332,0.063,22.16,6.7,36.7,1,2.3,1,1,2023
Shea Langeliers,669127,344,0.274,0.272,0.282,0.273,0.01,3.75,7.0,29.9,11,21.2,23,10,2023
Luis Campusano,669134,65,0.304,0.298,0.274,0.26,-0.024,-8.07,3.1,16.9,2,12.2,5,2,2023
Sean Murphy,669221,318,0.387,0.404,0.398,0.388,-0.006,-1.54,10.7,23.9,17,14.0,34,17,2023
Nick Senzel,669222,248,0.3,0.306,0.32,0.308,0.014,4.43,9.7,21.8,8,15.4,8,5,2023
Tommy Edman,669242,318,0.296,0.312,0.344,0.329,0.032,10.35,7.5,16.4,7,7.9,10,4,2023
Will Smith,669257,363,0.368,0.362,0.371,0.359,0.009,2.38,13.8,15.4,13,15.1,16,6,2023
Jack Suwinski,669261,348,0.354,0.366,0.352,0.346,-0.014,-3.95,14.1,33.3,21,22.9,33,19,2023
Santiago Espinal,669289,169,0.27,0.279,0.283,0.266,0.004,1.29,7.7,13.0,2,10.0,1,0,2023
Jose Miranda,669304,152,0.252,0.277,0.292,0.275,0.015,5.48,5.9,15.8,3,10.1,5,3,2023
Bubba Thompson,669352,60,0.231,0.226,0.25,0.239,0.024,10.44,6.7,26.7,0,3.6,1,0,2023
Nolan Gorman,669357,370,0.349,0.36,0.345,0.339,-0.015,-4.09,11.1,30.8,22,21.8,31,18,2023
Xavier Edwards,669364,22,0.354,0.285,0.288,0.272,0.003,1.06,0.0,18.2,0,1.7,0,0,2023
Bryce Johnson,669369,48,0.218,0.243,0.238,0.226,-0.005,-2.16,8.3,31.3,1,15.6,2,1,2023
Samad Taylor,669392,48,0.247,0.282,0.299,0.286,0.017,6.06,12.5,25.0,0,8.2,2,1,2023
Jake Burger,669394,333,0.337,0.354,0.359,0.348,0.005,1.3,6.9,30.9,25,12.0,38,17,2023
Nick Allen,669397,173,0.206,0.244,0.277,0.26,0.033,13.44,5.8,17.9,1,7.1,2,1,2023
Cooper Hummel,669450,26,0.163,0.257,0.244,0.229,-0.013,-4.96,7.7,34.6,0,7.2,0,0,2023
Casey Schmitt,669477,218,0.245,0.273,0.278,0.265,0.005,1.88,4.6,23.4,2,14.2,8,3,2023
Braden Shewmake,669699,4,0.0,0.12,0.103,0.096,-0.017,-14.55,0.0,25.0,0,-33.2,0,0,2023
Josh Smith,669701,149,0.325,0.332,0.346,0.335,0.014,4.22,11.4,26.8,4,14.3,8,4,2023
Jared Triolo,669707,108,0.286,0.276,0.284,0.274,0.008,2.85,7.4,31.5,0,10.1,1,0,2023
Austin Hays,669720,390,0.331,0.32,0.332,0.319,0.012,3.79,5.9,23.1,9,11.0,26,12,2023
Darick Hall,669742,56,0.194,0.233,0.238,0.224,0.005,1.98,3.6,32.1,1,14.0,1,1,2023
Alex Call,669743,340,0.283,0.302,0.317,0.306,0.015,4.84,10.9,17.9,6,15.9,12,3,2023
Michael Toglia,669911,77,0.254,0.263,0.256,0.246,-0.007,-2.84,6.5,33.8,2,16.9,2,0,2023
Nicky Lopez,670032,190,0.281,0.283,0.278,0.262,-0.005,-1.67,11.1,15.8,0,1.4,0,0,2023
Luke Raley,670042,297,0.377,0.353,0.353,0.344,0.0,0.12,7.4,30.0,15,18.0,25,7,2023
