Name,key_mlbam,PA,wOBA,xwOBA,sxwOBA,diff,diff%,BB%,K%,HR,LA,Barrels,pulled_barrels,year
Kyle Stowers,669065,98,0.316,0.325,0.318,-0.008,-2.39,5.1,29.6,3,16.0,7.0,0,2022
Shea Langeliers,669127,153,0.296,0.262,0.295,0.033,12.6,5.9,34.6,6,16.9,9.0,4,2022
Luis Campusano,669134,50,0.257,0.313,0.278,-0.034,-10.94,2.0,22.0,1,16.4,2.0,1,2022
Sean Murphy,669221,612,0.331,0.352,0.355,0.003,0.74,9.2,20.3,18,11.5,44.0,13,2022
Nick Senzel,669222,420,0.272,0.315,0.312,-0.003,-1.08,7.1,18.1,5,11.7,10.0,2,2022
Tommy Edman,669242,630,0.318,0.322,0.315,-0.007,-2.26,7.3,17.6,13,8.7,29.0,8,2022
Will Smith,669257,578,0.349,0.366,0.355,-0.011,-2.98,9.7,16.6,24,18.4,43.0,18,2022
Jack Suwinski,669261,372,0.311,0.321,0.32,-0.001,-0.39,11.0,30.6,19,14.3,26.0,0,2022
Santiago Espinal,669289,491,0.305,0.311,0.317,0.007,2.19,7.3,13.8,7,14.1,13.0,9,2022
Jose Miranda,669304,483,0.329,0.323,0.339,0.015,4.71,5.8,18.8,15,13.8,22.0,12,2022
Bubba Thompson,669352,181,0.274,0.249,0.242,-0.007,-2.62,3.9,30.9,1,5.3,2.0,1,2022
Nolan Gorman,669357,313,0.316,0.337,0.328,-0.009,-2.65,8.9,32.9,14,20.0,26.0,0,2022
Bryce Johnson,669369,19,0.129,0.155,0.154,-0.001,-0.85,5.3,36.8,0,13.5,0.0,0,2022
Jake Burger,669394,183,0.327,0.321,0.327,0.005,1.58,5.5,30.6,8,12.3,17.0,9,2022
Nick Allen,669397,326,0.245,0.255,0.273,0.018,6.9,5.8,19.6,4,7.6,3.0,2,2022
Cooper Hummel,669450,201,0.262,0.287,0.276,-0.011,-3.69,11.4,31.8,3,7.7,8.0,2,2022
Josh Smith,669701,253,0.262,0.301,0.287,-0.014,-4.67,11.1,19.8,2,19.2,4.0,0,2022
Austin Hays,669720,582,0.314,0.313,0.316,0.003,1.12,5.8,19.6,16,11.3,22.0,12,2022
Darick Hall,669742,142,0.343,0.328,0.323,-0.005,-1.62,3.5,31.0,9,18.6,16.0,0,2022
Alex Call,669743,131,0.332,0.279,0.297,0.017,6.24,11.5,22.9,5,18.1,1.0,1,2022
Nicky Lopez,670032,480,0.251,0.281,0.274,-0.006,-2.17,6.0,13.1,0,4.9,6.0,0,2022
Luke Raley,670042,72,0.271,0.3,0.27,-0.03,-9.96,9.7,33.3,1,16.9,5.0,0,2022
Miles Mastrobuoni,670156,17,0.196,0.197,0.176,-0.02,-10.36,5.9,35.3,0,-2.2,0.0,0,2022
Matt Wallner,670242,65,0.311,0.31,0.309,-0.001,-0.26,9.2,38.5,2,12.9,3.0,0,2022
Yordan Alvarez,670541,561,0.427,0.441,0.422,-0.02,-4.46,13.9,18.9,37,12.3,78.0,0,2022
Isaac Paredes,670623,381,0.323,0.309,0.343,0.035,11.21,11.5,17.6,20,15.9,17.0,14,2022
Mike Brosseau,670712,160,0.338,0.31,0.326,0.016,5.27,8.8,30.0,6,14.6,8.0,3,2022
Taylor Walls,670764,466,0.252,0.28,0.29,0.01,3.54,11.2,25.8,8,16.6,18.0,3,2022
T.J. Friedl,670770,258,0.323,0.304,0.309,0.005,1.74,7.8,15.5,8,19.8,9.0,0,2022
Triston Casas,671213,95,0.344,0.348,0.372,0.024,7.04,20.0,24.2,5,2.2,4.0,0,2022
Heliot Ramos,671218,22,0.143,0.288,0.252,-0.036,-12.63,9.1,27.3,0,1.7,1.0,0,2022
Luis Garcia,671277,377,0.303,0.313,0.32,0.006,2.05,2.9,22.3,7,5.5,21.0,0,2022
Tyler Freeman,671289,86,0.274,0.286,0.309,0.023,8.16,4.7,12.8,0,10.3,1.0,1,2022
Michael Harris II,671739,441,0.368,0.363,0.361,-0.003,-0.75,4.8,24.3,19,4.5,31.0,0,2022
Jarred Kelenic,672284,181,0.238,0.264,0.262,-0.001,-0.46,8.8,33.7,7,18.0,14.0,0,2022
Gabriel Arias,672356,57,0.294,0.303,0.3,-0.003,-0.88,14.0,28.1,1,-0.6,2.0,1,2022
Alejandro Kirk,672386,541,0.347,0.367,0.369,0.002,0.49,11.6,10.7,14,8.1,28.0,13,2022
Gabriel Moreno,672515,73,0.326,0.285,0.292,0.006,2.26,5.5,11.0,1,5.9,2.0,0,2022
Geraldo Perdomo,672695,500,0.253,0.284,0.284,-0.001,-0.2,10.0,20.6,5,12.1,7.0,0,2022
Oswald Peraza,672724,57,0.371,0.34,0.338,-0.002,-0.62,10.5,15.8,1,5.4,2.0,0,2022
Tucupita Marcano,672779,177,0.249,0.226,0.228,0.002,0.75,5.6,24.9,2,11.1,2.0,0,2022
Lenyn Sosa,672820,36,0.161,0.253,0.249,-0.004,-1.4,2.8,33.3,1,5.7,2.0,1,2022
Yainer Diaz,673237,9,0.217,0.305,0.275,-0.03,-9.98,11.1,22.2,0,24.0,1.0,0,2022
Luis Robert,673357,401,0.324,0.344,0.355,0.011,3.17,4.2,19.2,12,10.0,27.0,11,2022
