,Name,PA,wOBA,xwOBA,sxwOBA,diff,diff %,BB%,K%,HR,LA,Barrels,pulled_barrels
76,Mike Zunino,123,0.219,0.258,0.254,-0.004,-1.68,4.9,37.4,5,20.8,6.0,2
77,Matt Carpenter,154,0.472,0.404,0.446,0.042,10.41,12.3,22.7,15,22.4,13.0,0
78,Corey Dickerson,297,0.303,0.288,0.308,0.019,6.7,4.0,16.2,6,10.6,9.0,0
79,Darin Ruf,388,0.291,0.317,0.314,-0.003,-0.83,11.6,27.1,11,14.8,20.0,10
80,Mike Yastrzemski,558,0.307,0.317,0.311,-0.006,-1.88,10.9,25.3,17,19.9,39.0,0
81,Willson Contreras,487,0.357,0.368,0.38,0.012,3.32,9.2,21.1,22,8.5,33.0,13
82,Kris Bryant,181,0.37,0.355,0.341,-0.014,-3.81,9.4,14.9,5,13.5,9.0,3
83,Mark Canha,542,0.343,0.34,0.35,0.01,2.95,8.9,17.9,13,10.9,18.0,10
84,Curt Casali,176,0.295,0.292,0.279,-0.012,-4.21,13.6,28.4,5,25.4,6.0,4
85,Nick Castellanos,558,0.304,0.313,0.31,-0.003,-0.81,5.2,23.3,13,14.6,26.0,6
86,Brandon Drury,568,0.35,0.329,0.335,0.005,1.62,6.7,22.2,28,13.8,41.0,20
87,Aaron Judge,696,0.458,0.466,0.467,0.001,0.2,15.9,25.1,62,14.9,106.0,44
88,Manny Machado,644,0.382,0.373,0.373,0.0,0.07,9.8,20.7,32,16.0,44.0,23
89,Joc Pederson,433,0.373,0.373,0.368,-0.006,-1.55,9.7,23.1,23,14.8,43.0,0
90,J.T. Realmuto,562,0.354,0.365,0.367,0.002,0.52,7.3,21.2,22,13.1,44.0,18
91,Hunter Renfroe,522,0.347,0.338,0.344,0.006,1.75,7.5,23.2,29,17.7,39.0,17
92,Eddie Rosario,270,0.258,0.254,0.256,0.001,0.54,6.3,25.2,5,15.2,10.0,0
93,Christian Yelich,671,0.328,0.342,0.347,0.004,1.29,13.1,24.1,14,3.6,34.0,0
94,Whit Merrifield,550,0.294,0.302,0.3,-0.001,-0.46,6.9,15.5,11,15.1,18.0,11
95,Xander Bogaerts,631,0.363,0.333,0.342,0.009,2.67,9.0,18.7,15,10.2,29.0,13
96,Hanser Alberto,159,0.27,0.252,0.248,-0.004,-1.65,1.9,15.7,2,10.8,2.0,0
97,Adam Duvall,315,0.295,0.302,0.309,0.008,2.52,6.7,32.1,12,23.4,24.0,11
98,Kevin Kiermaier,221,0.286,0.315,0.321,0.007,2.09,6.3,27.6,7,5.3,10.0,0
99,Jurickson Profar,658,0.32,0.307,0.328,0.021,6.7,11.1,15.7,15,12.9,19.0,2
100,Javier Baez,590,0.291,0.297,0.305,0.008,2.72,4.4,24.9,17,9.6,33.0,16
101,Jake Cave,177,0.278,0.302,0.262,-0.039,-13.03,6.2,27.7,5,14.4,12.0,0
102,Cam Gallagher,47,0.265,0.229,0.254,0.026,11.19,6.4,27.7,0,16.3,0.0,0
103,Austin Hedges,338,0.225,0.232,0.243,0.01,4.39,7.4,23.1,7,16.7,7.0,7
104,Francisco Lindor,706,0.342,0.337,0.343,0.007,1.93,8.4,18.8,26,13.8,42.0,5
105,Rougned Odor,472,0.278,0.28,0.271,-0.009,-3.24,6.8,23.1,13,21.5,21.0,0
106,Garrett Stubbs,121,0.355,0.29,0.32,0.03,10.47,11.6,24.8,5,15.2,4.0,0
107,Daniel Vogelbach,461,0.349,0.351,0.343,-0.007,-2.12,15.8,24.7,18,15.8,29.0,0
108,Max Kepler,446,0.298,0.345,0.34,-0.004,-1.27,11.0,14.8,9,11.1,23.0,0
109,Ji-Man Choi,419,0.322,0.345,0.349,0.004,1.06,13.8,29.4,11,10.6,28.0,0
110,Jackie Bradley Jr.,370,0.252,0.268,0.258,-0.01,-3.69,6.5,20.8,4,7.4,13.0,0
111,Tommy La Stella,195,0.277,0.274,0.284,0.011,3.92,5.6,15.4,2,14.6,3.0,0
112,Jeimer Candelario,467,0.277,0.304,0.305,0.001,0.4,6.0,23.3,13,13.5,27.0,4
113,Yonathan Daza,408,0.323,0.337,0.332,-0.005,-1.52,6.4,14.2,2,4.6,6.0,3
114,Ramon Urias,445,0.313,0.324,0.322,-0.002,-0.67,6.7,22.0,16,11.0,30.0,10
115,Nick Ahmed,54,0.302,0.252,0.286,0.034,13.39,3.7,27.8,3,4.4,2.0,2
116,Brian Anderson,383,0.293,0.319,0.317,-0.002,-0.6,9.7,26.4,8,7.7,23.0,9
117,Austin Barnes,212,0.315,0.301,0.308,0.007,2.36,12.7,17.5,8,13.6,7.0,3
118,Josh Bell,647,0.344,0.356,0.348,-0.008,-2.3,12.5,15.8,17,8.3,33.0,2
119,Mookie Betts,639,0.373,0.359,0.368,0.009,2.37,8.6,16.3,35,18.6,46.0,22
120,Victor Caratini,314,0.289,0.314,0.303,-0.011,-3.4,9.9,21.3,9,6.6,13.0,3
121,J.D. Davis,365,0.333,0.368,0.351,-0.017,-4.54,10.7,33.4,12,12.3,32.0,8
122,Harold Castro,443,0.297,0.307,0.31,0.002,0.77,3.8,17.8,7,11.4,21.0,0
123,Orlando Arcia,234,0.321,0.331,0.333,0.002,0.53,9.0,21.8,9,11.7,12.0,8
124,Raimel Tapia,433,0.293,0.299,0.299,0.0,0.1,3.7,18.7,7,4.0,17.0,0
125,Teoscar Hernandez,535,0.348,0.367,0.358,-0.01,-2.62,6.4,28.4,25,11.6,52.0,16
126,Ketel Marte,558,0.317,0.32,0.322,0.002,0.73,9.9,18.1,12,13.5,24.0,1
127,Eric Haase,351,0.322,0.317,0.316,-0.001,-0.24,6.8,27.6,14,17.0,20.0,12
128,Brandon Nimmo,673,0.353,0.351,0.354,0.002,0.7,10.5,17.2,16,6.1,33.0,0
129,Jace Peterson,328,0.306,0.308,0.28,-0.028,-9.23,10.1,25.9,8,9.7,15.0,0
130,Trea Turner,708,0.35,0.354,0.355,0.001,0.27,6.4,18.5,21,10.2,40.0,14
131,Matt Beaty,47,0.158,0.245,0.214,-0.031,-12.61,4.3,17.0,0,10.5,0.0,0
132,Kevin Pillar,13,0.15,0.286,0.228,-0.058,-20.16,7.7,30.8,0,10.7,1.0,0
133,Jacob Stallings,384,0.265,0.269,0.271,0.003,1.0,7.6,21.6,4,12.9,9.0,4
134,Jose Ramirez,685,0.363,0.345,0.356,0.011,3.21,10.1,12.0,29,20.7,35.0,6
135,Alex Bregman,656,0.358,0.358,0.37,0.012,3.33,13.3,11.7,23,19.5,35.0,13
136,Joey Gallo,410,0.286,0.297,0.301,0.004,1.33,13.7,39.8,19,23.8,33.0,0
137,Corey Seager,663,0.331,0.355,0.343,-0.011,-3.19,8.7,15.5,33,13.6,52.0,0
138,Jesse Winker,547,0.313,0.334,0.338,0.004,1.34,15.4,18.8,14,16.8,27.0,0
139,Tom Murphy,42,0.397,0.422,0.371,-0.051,-12.08,19.0,31.0,1,13.4,4.0,1
140,Travis Jankowski,64,0.222,0.297,0.262,-0.035,-11.91,12.5,15.6,0,-3.2,0.0,0
141,Rob Refsnyder,177,0.381,0.385,0.375,-0.01,-2.65,8.5,26.0,6,13.1,12.0,4
142,Joey Meneses,240,0.395,0.355,0.364,0.008,2.38,6.3,21.7,13,9.5,17.0,5
143,Jason Vosler,111,0.349,0.311,0.322,0.011,3.58,9.0,26.1,4,15.2,3.0,0
144,Franchy Cordero,275,0.304,0.31,0.317,0.007,2.2,10.2,33.5,8,12.7,19.0,0
145,Franmil Reyes,473,0.28,0.285,0.283,-0.002,-0.87,6.3,33.2,14,9.9,32.0,8
146,Luis Torrens,166,0.261,0.299,0.274,-0.025,-8.32,7.2,30.1,3,8.9,5.0,1
147,Dansby Swanson,696,0.337,0.349,0.336,-0.012,-3.48,7.0,26.1,25,15.7,50.0,16
148,Kevin Newman,309,0.303,0.301,0.305,0.005,1.61,5.2,15.5,2,13.3,4.0,3
149,Chris Taylor,454,0.298,0.294,0.303,0.009,3.11,9.7,35.2,10,20.4,25.0,12
150,Carlos Correa,590,0.362,0.375,0.374,-0.001,-0.39,10.3,20.5,22,11.6,46.0,20
151,Brett Phillips,225,0.213,0.225,0.224,-0.001,-0.4,7.1,41.8,5,22.8,5.0,0
152,Byron Buxton,382,0.356,0.354,0.372,0.018,5.2,8.9,30.4,28,21.4,37.0,24
153,Edwin Rios,92,0.338,0.317,0.312,-0.005,-1.46,5.4,39.1,7,10.9,7.0,0
154,Taylor Ward,564,0.362,0.377,0.363,-0.014,-3.72,10.6,21.3,23,15.8,46.0,12
155,Tomas Nido,313,0.265,0.292,0.281,-0.011,-3.64,4.5,24.3,3,8.4,14.0,3
156,Anthony Bemboom,59,0.196,0.256,0.264,0.008,3.07,10.2,28.8,1,7.0,2.0,0
157,Patrick Wisdom,534,0.316,0.306,0.314,0.009,2.81,9.9,34.3,25,21.0,41.0,17
158,Joey Wendle,371,0.289,0.285,0.298,0.013,4.6,4.0,13.5,3,3.0,5.0,0
159,Matt Olson,699,0.344,0.353,0.356,0.003,0.89,10.7,24.3,34,16.1,61.0,0
160,Matt Duffy,247,0.279,0.296,0.294,-0.002,-0.55,6.9,20.2,2,9.9,5.0,2
161,Manuel Margot,363,0.308,0.318,0.319,0.001,0.36,6.6,18.7,4,10.2,10.0,4
162,Jorge Mateo,533,0.281,0.287,0.29,0.003,1.15,5.1,27.6,13,14.8,21.0,12
163,Tyler Heineman,174,0.248,0.269,0.278,0.009,3.16,4.6,9.8,0,19.9,0.0,0
164,Harold Ramirez,435,0.327,0.344,0.337,-0.007,-2.07,4.4,16.6,6,4.8,16.0,5
165,Anthony Santander,647,0.336,0.341,0.35,0.009,2.6,8.5,18.9,33,21.4,53.0,10
166,Pete Alonso,685,0.366,0.364,0.367,0.003,0.92,9.8,18.7,40,18.2,59.0,30
